	TF	target	importance	count	shuffled_occurences	pvalue	p_adj
2138	STAT2	NRP1	108.49406298067059	0.0	992	0.000999000999000999	0.005775729257143582
2163	STAT2	SCGB1A1	100.83378877313741	0.0	992	0.000999000999000999	0.005775729257143582
2127	STAT2	MYOCD	98.91147113442939	0.0	992	0.000999000999000999	0.005775729257143582
2122	STAT2	LAMA1	97.45686067565978	0.0	992	0.000999000999000999	0.005775729257143582
2162	STAT2	SCARB1	87.69684907381237	0.0	992	0.000999000999000999	0.005775729257143582
2066	STAT2	CBL	81.56886654483986	0.0	992	0.000999000999000999	0.005775729257143582
2084	STAT2	CYP2C19	81.5459181033976	0.0	992	0.000999000999000999	0.005775729257143582
59	ELK4	CDX2	78.27147427584899	0.0	1000	0.000999000999000999	0.005775729257143582
65	ELK4	FGF17	77.12448750543311	0.0	1000	0.000999000999000999	0.005775729257143582
78	ELK4	ID3	74.48528851548338	0.0	1000	0.000999000999000999	0.005775729257143582
2087	STAT2	DLX2	72.40883131126417	0.0	992	0.000999000999000999	0.005775729257143582
1121	STAT2	ANKRD1	64.41177729086466	0.0	998	0.000999000999000999	0.005775729257143582
2117	STAT2	ITGAD	64.01302448557944	0.0	992	0.000999000999000999	0.005775729257143582
2078	STAT2	CRABP2	63.35072447440517	0.0	992	0.000999000999000999	0.005775729257143582
90	ELK4	NR1I2	63.27962811824376	0.0	1000	0.000999000999000999	0.005775729257143582
92	ELK4	PENK	62.59962504629107	0.0	1000	0.000999000999000999	0.005775729257143582
81	ELK4	IL7R	61.96900492971766	0.0	1000	0.000999000999000999	0.005775729257143582
2093	STAT2	ESCO2	61.8997826682294	0.0	992	0.000999000999000999	0.005775729257143582
2167	STAT2	SFTPC	61.15808436961913	0.0	992	0.000999000999000999	0.005775729257143582
2082	STAT2	CXCL8	60.12160559300016	0.0	992	0.000999000999000999	0.005775729257143582
2079	STAT2	CREBBP	60.01722671667591	0.0	992	0.000999000999000999	0.005775729257143582
84	ELK4	LAMA3	60.01576724900883	0.0	1000	0.000999000999000999	0.005775729257143582
63	ELK4	ERVK-11	58.353934598597974	0.0	1000	0.000999000999000999	0.005775729257143582
56	ELK4	BMAL1	58.150792817457514	0.0	1000	0.000999000999000999	0.005775729257143582
2182	STAT2	WNT16	57.05390201420038	0.0	992	0.000999000999000999	0.005775729257143582
2153	STAT2	PTDSS1	56.87491798386009	0.0	992	0.000999000999000999	0.005775729257143582
2083	STAT2	CYP19A1	56.56634836322168	0.0	992	0.000999000999000999	0.005775729257143582
2109	STAT2	IFIT2	56.472664227459404	0.0	992	0.000999000999000999	0.005775729257143582
52	ELK4	ALOX5	55.03868623175299	0.0	1000	0.000999000999000999	0.005775729257143582
2146	STAT2	PLIN1	53.997029215259026	0.0	992	0.000999000999000999	0.005775729257143582
69	ELK4	FSHB	53.702679410274605	0.0	1000	0.000999000999000999	0.005775729257143582
68	ELK4	FGFR3	53.00559873328756	0.0	1000	0.000999000999000999	0.005775729257143582
2063	STAT2	AR	51.99404410925473	0.0	992	0.000999000999000999	0.005775729257143582
91	ELK4	OGG1	51.62011555695226	0.0	1000	0.000999000999000999	0.005775729257143582
2178	STAT2	TGFA	51.31775141248997	0.0	992	0.000999000999000999	0.005775729257143582
2155	STAT2	RAG1	49.93229223916583	0.0	992	0.000999000999000999	0.005775729257143582
122	ELK4	SLC2A4	49.912614378585666	0.0	1000	0.000999000999000999	0.005775729257143582
557	MYCN	PSG5	49.8047934712576	0.0	981	0.000999000999000999	0.005775729257143582
86	ELK4	LHX3	49.562861686024924	0.0	1000	0.000999000999000999	0.005775729257143582
2150	STAT2	PPARG	49.44270151477483	0.0	992	0.000999000999000999	0.005775729257143582
1025	ZNF85	PSG5	48.540729622517766	0.0	1000	0.000999000999000999	0.005775729257143582
120	ELK4	PTGS2	47.8461618175689	0.0	1000	0.000999000999000999	0.005775729257143582
80	ELK4	IL2	47.285027234937836	0.0	1000	0.000999000999000999	0.005775729257143582
560	MYCN	SP7	46.85550017677898	0.0	981	0.000999000999000999	0.005775729257143582
94	ELK4	PTK2	46.51563387634831	0.0	1000	0.000999000999000999	0.005775729257143582
2077	STAT2	CRABP1	46.44677879361629	0.0	992	0.000999000999000999	0.005775729257143582
2144	STAT2	PDYN	46.16534958284378	0.0	992	0.000999000999000999	0.005775729257143582
531	MYCN	FGF21	46.06670167351234	0.0	981	0.000999000999000999	0.005775729257143582
553	MYCN	NKX2-5	45.545887151673355	0.0	981	0.000999000999000999	0.005775729257143582
2091	STAT2	EIF2AK2	44.68141412758022	0.0	992	0.000999000999000999	0.005775729257143582
104	ELK4	KLK3	44.49561443994555	0.0	1000	0.000999000999000999	0.005775729257143582
536	MYCN	GCLC	44.41267477458857	0.0	981	0.000999000999000999	0.005775729257143582
2125	STAT2	MMP13	44.090055856624595	0.0	992	0.000999000999000999	0.005775729257143582
62	ELK4	ELK1	43.52799938355337	0.0	1000	0.000999000999000999	0.005775729257143582
2123	STAT2	MC2R	43.52521416288556	0.0	992	0.000999000999000999	0.005775729257143582
524	MYCN	CDX2	43.4776817288411	0.0	981	0.000999000999000999	0.005775729257143582
2175	STAT2	TALDO1	43.3354735868333	0.0	992	0.000999000999000999	0.005775729257143582
119	ELK4	PITX3	43.19954644308379	0.0	1000	0.000999000999000999	0.005775729257143582
108	ELK4	MCL1	42.56032028898662	0.0	1000	0.000999000999000999	0.005775729257143582
121	ELK4	PTPN6	41.104460564892996	0.0	1000	0.000999000999000999	0.005775729257143582
2096	STAT2	FEN1	40.31395176769926	0.0	992	0.000999000999000999	0.005775729257143582
75	ELK4	BTG1	40.247989116009705	0.0	1000	0.000999000999000999	0.005775729257143582
723	MYCN	HOXA1	39.986219958286924	0.0	999	0.000999000999000999	0.005775729257143582
538	MYCN	HLA-DRB1	39.86241886890389	0.0	981	0.000999000999000999	0.005775729257143582
1217	KLF4	ITGAD	39.49419741169375	0.0	992	0.000999000999000999	0.005775729257143582
519	MYCN	ARR3	39.15946953671095	0.0	981	0.000999000999000999	0.005775729257143582
999	ZNF85	FGF3	39.050565064757684	0.0	1000	0.000999000999000999	0.005775729257143582
128	ELK4	TEKT2	38.74997273081192	0.0	1000	0.000999000999000999	0.005775729257143582
549	MYCN	LAMA3	38.667458086817255	0.0	981	0.000999000999000999	0.005775729257143582
537	MYCN	HIF1A	38.420746437556424	0.0	981	0.000999000999000999	0.005775729257143582
1192	YBX2	BTG1	37.785510971375324	0.0	985	0.000999000999000999	0.005775729257143582
61	ELK4	EBP	37.670731541406184	0.0	1000	0.000999000999000999	0.005775729257143582
556	MYCN	PENK	37.31650720965216	0.0	981	0.000999000999000999	0.005775729257143582
1003	ZNF85	GCLC	37.18783640608244	0.0	1000	0.000999000999000999	0.005775729257143582
509	KLF4	SP7	36.9683905373366	0.0	1000	0.000999000999000999	0.005775729257143582
2377	ZNF143	KLF4	36.861879103327695	0.0	998	0.000999000999000999	0.005775729257143582
97	ELK4	SPAG6	36.617312821041544	0.0	1000	0.000999000999000999	0.005775729257143582
2173	STAT2	SLC5A6	36.22161786097135	0.0	992	0.000999000999000999	0.005775729257143582
1254	KLF4	RAG1	35.95682236979459	0.0	992	0.000999000999000999	0.005775729257143582
1021	ZNF85	NKX2-5	35.91267664177571	0.0	1000	0.000999000999000999	0.005775729257143582
1262	KLF4	SCGB1A1	35.61075649552553	0.0	992	0.000999000999000999	0.005775729257143582
744	MYCN	PAK1	35.57882192213528	0.0	999	0.000999000999000999	0.005775729257143582
226	ELK4	RGS4	35.461495128421795	0.0	999	0.000999000999000999	0.005775729257143582
247	ELK4	TERT	35.226876425338986	0.0	999	0.000999000999000999	0.005775729257143582
2148	STAT2	POLR2A	35.2186848110363	0.0	992	0.000999000999000999	0.005775729257143582
530	MYCN	FGF17	34.91667357562186	0.0	981	0.000999000999000999	0.005775729257143582
972	ZNF143	PENK	34.855744791129325	0.0	1000	0.000999000999000999	0.005775729257143582
2070	STAT2	CD22	34.74045787636142	0.0	992	0.000999000999000999	0.005775729257143582
964	ZNF143	LAMA3	33.93071411272599	0.0	1000	0.000999000999000999	0.005775729257143582
75	ELK4	HMOX1	33.48696494783539	0.0	1000	0.000999000999000999	0.005775729257143582
2064	STAT2	ARG1	33.464968457389034	0.0	992	0.000999000999000999	0.005775729257143582
1261	KLF4	SCARB1	33.34137352537339	0.0	992	0.000999000999000999	0.005775729257143582
1004	ZNF85	HIF1A	33.30295923913783	0.0	1000	0.000999000999000999	0.005775729257143582
547	MYCN	INS	33.14316761436657	0.0	981	0.000999000999000999	0.005775729257143582
977	ZNF143	SPAG6	32.97586056080789	0.0	1000	0.000999000999000999	0.005775729257143582
992	ZNF85	CYP7B1	32.80838973259989	0.0	1000	0.000999000999000999	0.005775729257143582
1226	KLF4	MYOCD	32.56132583791248	0.0	992	0.000999000999000999	0.005775729257143582
920	YBX2	PENK	32.505671313605745	0.0	999	0.000999000999000999	0.005775729257143582
467	KLF4	ARR3	32.405937644011594	0.0	1000	0.000999000999000999	0.005775729257143582
1327	ZNF85	ACTG2	32.18919114920859	0.0	999	0.000999000999000999	0.005775729257143582
737	MYCN	MDM2	32.122729463679036	0.0	999	0.000999000999000999	0.005775729257143582
246	ELK4	TCF4	32.11210585571936	0.0	999	0.000999000999000999	0.005775729257143582
1221	KLF4	LAMA1	32.083384897067425	0.0	992	0.000999000999000999	0.005775729257143582
460	FOXP1	NOTCH3	31.933492157078543	0.0	991	0.000999000999000999	0.005775729257143582
543	MYCN	ID3	31.83791944648277	0.0	981	0.000999000999000999	0.005775729257143582
1237	KLF4	NRP1	31.804148222165985	0.0	992	0.000999000999000999	0.005775729257143582
552	MYCN	NES	31.562294570473306	0.0	981	0.000999000999000999	0.005775729257143582
1351	ZNF85	HOXA1	31.449647477604877	0.0	999	0.000999000999000999	0.005775729257143582
76	ELK4	CCL2	31.363599846171446	0.0	1000	0.000999000999000999	0.005775729257143582
1372	ZNF85	PAK1	31.314869628937114	0.0	999	0.000999000999000999	0.005775729257143582
555	MYCN	OGG1	30.76960050109787	0.0	981	0.000999000999000999	0.005775729257143582
2384	ZNF143	MYOCD	30.73754525996775	0.0	998	0.000999000999000999	0.005775729257143582
986	ZNF85	ARR3	30.699786891587337	0.0	1000	0.000999000999000999	0.005775729257143582
1011	ZNF85	IFNG	30.629239594354168	0.0	1000	0.000999000999000999	0.005775729257143582
525	MYCN	CYP7B1	30.626861041356136	0.0	981	0.000999000999000999	0.005775729257143582
102	ELK4	INHBA	30.61700549450923	0.0	1000	0.000999000999000999	0.005775729257143582
17	HLX	ZNF143	30.436997343512513	0.0	999	0.000999000999000999	0.005775729257143582
1302	ZNF143	PAK1	30.35688313356605	0.0	999	0.000999000999000999	0.005775729257143582
949	ZNF143	FSHB	30.332702541112607	0.0	1000	0.000999000999000999	0.005775729257143582
974	ZNF143	PTK2	30.321137191426015	0.0	1000	0.000999000999000999	0.005775729257143582
111	ELK4	MMP1	30.25946897258944	0.0	1000	0.000999000999000999	0.005775729257143582
545	MYCN	IL2	30.21525468777079	0.0	981	0.000999000999000999	0.005775729257143582
731	RORA	CDX2	30.19135425651807	0.0	1000	0.000999000999000999	0.005775729257143582
2374	ZNF143	ITGAD	29.94513637593262	0.0	998	0.000999000999000999	0.005775729257143582
942	ZNF143	ELK1	29.900632820458593	0.0	1000	0.000999000999000999	0.005775729257143582
533	MYCN	FGFR3	29.62736467029837	0.0	981	0.000999000999000999	0.005775729257143582
961	ZNF143	IL7R	29.61552903853261	0.0	1000	0.000999000999000999	0.005775729257143582
887	YBX2	CDX2	29.590230240044594	0.0	999	0.000999000999000999	0.005775729257143582
