source	target	mor
HDAC3	MYC	10.6392132641875
HDAC3	ALOX5	10.3033341589197
HDAC3	APOC3	10.0949358724686
HDAC3	CDH1	10.440908563725
HDAC3	CDKN2A	9.681112676117
HDAC3	CXCR4	8.73069450442589
HDAC3	EGFR	7.04666236587173
HDAC3	GAS2	8.8487459346743
HDAC3	GATA2	9.38086663641855
HDAC3	GCM1	11.3602670578381
HDAC3	GRHL1	6.87563878574551
HDAC3	GTF2I	10.1361988459561
HDAC3	IFNA1	14.0087100500479
HDAC3	JUN	9.54087130929074
HDAC3	LGALS9	11.852477025109
HDAC3	LSS	12.6987462023268
HDAC3	MBD1	8.27050681956405
HDAC3	MMP2	6.73088679989512
HDAC3	PCK2	13.9731625450117
HDAC3	PRAM1	8.57393303312333
HDAC3	TLR9	9.66326183361522
HDAC3	TNF	7.37200175686649
HDAC3	ULBP1	7.62048180900145
HDAC3	VEGFA	11.5544039914314
HDAC3	SMAD7	7.67315562049767
HDAC3	ATP6V0E2	12.2126317038498
HDAC3	BGLAP	10.3539337851837
MEOX2	CDKN1A	11.9580198595682
MEOX2	NKX3-2	10.9004750426806
MEOX2	RNF10	9.62603895845878
MEOX2	MYF5	11.1824039683741
MEOX2	CDKN2A	11.1060949751048
MEOX2	BCL2	6.06525648053086
MEOX2	BAX	9.10847555374325
NKX3-1	CASP8	7.84052923542615
NKX3-1	KRAS	9.23643037649099
NKX3-1	ACTG2	11.5463234444083
NKX3-1	ABL2	8.32813729096749
NKX3-1	TBPL1	9.31996854361356
NKX3-1	TP53	8.63137563788294
NKX3-1	BCL2L1	12.0878416016738
NKX3-1	AHR	9.3977440709301
NKX3-1	ACHE	8.17199383682058
NKX3-1	FOS	9.31338550702027
NKX3-1	MDM2	8.61343926123691
NKX3-1	BAX	7.05105133613264
NKX3-1	BCL2	7.11817893279877
NKX3-1	SEPTIN9	8.95877012368613
NKX3-1	SPINT2	7.98558434851506
NKX3-1	PDLIM7	8.45377248146519
NKX3-1	SHISA5	11.5042224162612
NKX3-1	CASP3	7.86247713424001
NKX3-1	CASP9	6.44876230343061
NKX3-1	KLK3	9.47402279709031
NKX3-1	PML	6.39983904129082
NKX3-1	CLIC4	14.9641160188614
NKX3-1	TFAP2A	5.80856067261362
NKX3-1	MCL1	12.1051789778891
NKX3-1	MAP4K4	10.1443022041578
NKX3-1	AR	7.98383512373834
NKX3-1	KCNH2	12.3049435635359
NKX3-1	TP73	8.44885847381271
NKX3-1	SPDEF	7.87730382220456
NKX3-1	CCND1	10.0351286442692
NKX3-1	B3GNT9	8.24912895492037
NKX3-1	LEP	10.8991035395039
NKX3-1	TRIM28	10.7022405557231
NKX3-1	ABCB1	10.2515148897163
NKX3-1	NBN	7.77288640091014
NKX3-1	VEGFC	9.50743207171938
NKX3-1	TRIM17	8.56521122758442
NKX3-1	TAL1	9.89871095728738
NKX3-1	CBX5	10.3440223900767
NKX3-1	MAP3K5	12.5443076767893
NKX3-1	MAPK1	9.7070267164855
NKX3-1	PTGFR	11.4882039966235
NKX3-1	CD44	10.1283860328748
NKX3-1	IGFBP6	9.3979042171649
NKX3-1	RAB3B	8.06269373015504
NKX3-1	HGF	6.76504104614389
NKX3-1	SELENOH	11.8123113902044
NKX3-1	TWIST1	11.2991296196225
NKX3-1	CHD1	9.82484408936124
NR1H4	CYP7A1	9.10982696808668
NR1H4	FABP6	13.7060933522798
NR1H4	VARS1	9.6904364084826
NR1H4	WNT2	14.2065267335375
NR1H4	PLTP	9.32619597849478
NR1H4	NR5A2	9.80221556321768
NR1H4	ABCB11	11.5223498314773
NR1H4	SULT2A1	8.68031148279061
NR1H4	APOC2	10.5726103142398
NR1H4	NR0B2	9.88023599535941
NR1H4	ABCC2	11.422872583759
NR1H4	APOA1	11.3741109432912
NR1H4	SLCO1B3	9.99573794279855
NR1H4	NELFE	8.43647305007991
NR1H4	APOE	11.5868924305722
NR1H4	NISCH	10.0505965542781
NR1H4	PPARA	9.64102821599552
NR1H4	DR1	8.27988197931557
NR1H4	NR0B1	9.43396416396924
NR1H4	APOA5	10.8645081915219
NR1H4	KNG1	10.800352396089
NR1H4	UGT2B4	8.74250987940126
NR1H4	APOC3	11.5300986508744
NR1H4	ABCB1	11.9129953560213
NR1H4	MED1	8.91867931985371
NR1H4	CARM1	10.5933880363886
NR1H4	C3	9.11220478443565
NR1H4	SLC10A2	9.05259760234496
NR1H4	HNF4A	8.11839648253869
NR1H4	SLC22A7	13.0169119590425
NR1H4	ICAM1	8.39958230936944
NR1H4	UGT2B7	13.82247103965
NR1H4	TIMP1	9.65833635362193
NR1H4	SQSTM1	11.4991884971836
NR1H4	PPARG	7.88541154956514
NR1H4	SREBF1	8.30550953584987
NR1H4	VIPR1	8.66829574917914
NR1H4	SCARB1	8.25229038597886
NR1H4	SLC1A5	8.12772053424378
NR1H4	FGF19	9.09413770040635
NR1H4	SLC51B	9.25266597183278
NR1H4	PON1	11.3064506937118
NR1H4	SLC51A	9.8171373324321
NR1H4	EDN1	5.0668188298575
NR1H4	INS	9.97302656352872
NR1H4	SLC2A4	10.2701861318593
NR1H4	ATP8B1	10.068543570903
NR1H4	FASN	10.9119721522825
NR1H4	DDAH1	10.6058003890053
NR1H4	ABCC3	10.4263914614435
ZNF667	BAX	10.7068052860151
