TF,target,importance
ZEB2,FCER1A,11.581134093326279
FOS,JUN,9.039510205234032
ZEB2,HLA-DPA1,8.927805951709857
IRF8,WDFY4,8.923251709827664
HMGB2,PTPRM,8.564356895149485
FOS,FOSB,8.161326904516375
IRF7,TCF4,8.002545590469099
FOSB,FOS,7.951631756053244
CEBPD,IFI6,7.8291636397938635
TAGLN2,LMNA,7.797244040395767
IRF4,LINC01588,7.7402065237232485
IRF8,CEBPD,7.443899917450835
MAF,EOMES,7.229354444565356
FOSB,EGR1,6.894821647350402
ZNF331,PTPN13,6.870574886517727
IRF8,SLAMF7,6.774754815437542
ZNF568,ENSG00000268027,6.687332857137081
KMT2A,UICLM,6.684590446433129
TCF7,PCED1B-AS1,6.5975040678223165
ZNF568,PIK3IP1-DT,6.564721588465498
MYBL1,GZMM,6.525767432478081
HIVEP1,DGKH,6.452980470132537
HIVEP1,ERCC6L2-AS1,6.402137155316795
ETS1,PTX3,6.317737758119155
SCMH1,SLC39A8,6.272325210847074
IRF7,IGKC,6.258863038191161
SP140,RBMS3,6.248585822528534
ETS1,ANKRD17-DT,6.216800307958488
IRF8,RUBCNL,6.202803435426341
IRF8,EGLN3,6.18180331476031
STAT1,MLLT3,6.086779109837286
STAT1,CENPK,6.039327169775566
IRF7,LIME1,6.022224685941109
TCF4,PLAC8,5.995116876233575
ZNF568,SH2D1B,5.953599067557366
STAT1,LINC00649,5.918130784402788
ZEB2,VCAN,5.806509050625711
IRF4,ANKAR,5.781756024780441
STAT1,MX1,5.760153174914821
FOXP1,FRMD4B,5.740737516732525
TCF7,SYNGAP1,5.7336061868709205
ZNF568,SYNE2,5.70658687928222
ETS1,TRAC,5.648865858565432
DACH1,PRSS23,5.635123964821896
SP4,ENSG00000290548,5.6046059980757
FOS,IER2,5.594516894394079
IKZF3,TRGC2,5.540528547990974
TRAF4,LINC01215,5.513932204422895
ZNF626,XKR6,5.471348161947382
ZEB2,FCN1,5.4475954075447515
ZNF568,BICD1,5.444884021807279
KMT2A,DLG2,5.441256303195426
STAT1,TBC1D12,5.388645864094991
IRF8,CAMK2D,5.358304085719853
STAT1,EHBP1,5.341161168211282
BACH2,SPDL1,5.331981494783184
ZNF568,CHST2,5.2893964452734386
FOS,MAFB,5.261281190198949
TRAF4,IRF7,5.234983163316992
IRF7,PLAC8,5.233493720628058
IRF8,CARMIL2,5.224205137945065
ZNF568,TSPOAP1-AS1,5.213715687841373
STAT1,CARMIL1,5.208866145923202
BACH2,CD6,5.208373276287251
DACH1,ENSG00000291236,5.20250659063489
FOXP1,GPR174,5.188134178710191
FOXP1,ATG7,5.179353738512866
IKZF3,CD3D,5.163379906893908
IRF8,GNG7,5.158711388146083
ZNF568,TXK,5.144712413780358
GATA3,SLC12A2-DT,5.141701892014504
DACH1,SLAMF1,5.128371978439354
FOS,RHOB,5.1233194832475935
MYBL1,LINC01871,5.118326626570788
IRF8,SEPTIN11,5.100978114438947
FOXP1,HLA-DPA1,5.069329738366298
FOS,KMT2A,5.069145182547578
HMGB2,ENSG00000274422,5.062193661916271
ZNF331,CXCR2,5.043443096884124
SP140,ZC3H12D,5.041318222441309
TCF7,TRAT1,5.034465644717958
MCTP2,OXNAD1,5.009385102803085
HIVEP2,PRKN,5.006026735365136
RORA,INPP4B,4.999091676311966
ZEB2,HLA-DPB1,4.964299735332478
CEBPD,IFIT1,4.960120083689398
TAGLN2,LBH,4.958671351053441
TRAF4,FMNL3,4.955017587918045
ETS1,LCK,4.93850585454943
TRAF4,PPP1R16B,4.933082867612346
ZNF708,ENTPD3-AS1,4.911632194340615
HIVEP1,ATAD2,4.9108109295078455
ETS1,IL32,4.906399195340459
IRF7,NIBAN3,4.886419118440102
ZNF331,RHOH,4.874262321020897
ZNF568,PBXIP1,4.867124755094324
ZEB2,DENND1A,4.851634930706475
IRF8,RGCC,4.840761659994802
POU2F2,TSHZ2,4.83542465051931
IRF1,STAG1,4.83410269662183
IRF8,TSPAN33,4.817352081424207
TCF4,UGCG,4.81682591358506
ZEB2,SPIDR,4.815957259920571
STAT1,HERC5,4.810850704446181
FOXP1,SPIDR,4.795543352937484
STAT1,GBP4,4.790593846116593
ZEB2,HLA-DOA,4.789176986249268
FOXP1,ITGB7,4.7668190783502284
IRF8,C1orf21,4.761081162248478
LEF1,MAGED1,4.756207828553079
TCF4,IL3RA--chrX:1335025(+),4.742064985565025
RUNX2,IRF4,4.720639698116311
ZEB2,ITGB7,4.715601581316448
TCF4,IRF7,4.7059855873326795
