TF,target,importance
CLOCK,ENSG00000298678,8.98916932342757
DACH1,TBC1D12,7.839107517421855
HLCS,PRICKLE1,7.76070621198595
HMGB2,NUSAP1,7.598947087125494
HMGB2,STMN1,7.568095276850135
FOXP1,ENSG00000298831,7.4784708420787105
FOSB,S100A12,7.094564583024387
HMGB2,CENPE,6.9856646276981085
TCF7,SELL,6.744649423426679
NFATC3,FAR2,6.651728891230272
TCF7,FGFBP2,6.472127513292874
HOXB2,IL1RN,6.45972336603051
TCF7,FCGR3A,6.4575974062100086
NFATC3,TPTEP1--chr22:16601307(+),6.225040849509997
TCF7,CX3CR1,6.201649359825491
POU2F2,THEMIS,6.107977240233229
TCF7,SPON2,6.086620312282315
DACH1,FBXO22,6.08199128204054
MCTP2,GALM,6.054208523439065
RORA,PTPRM,6.002318267150202
GATA3,THEMIS,5.9604629378765575
ZBTB38,TMTC2,5.911023410032227
KLF12,CDK8,5.857277410970877
TCF7,PRF1,5.8404287100360746
DAB2,DUSP5,5.812517855499745
KLF12,DIS3L2,5.715493778879941
NFAT5,FER,5.67845840585248
TBX21,ENSG00000287190,5.674712793041026
IKZF2,CD3D,5.6196773467356715
FEZ1,PNISR-AS1,5.510822408753288
ZNF10,NR3C2,5.505578743329759
MCTP2,TAFA2,5.489052319230289
PBX4,METTL15,5.481729925612471
TCF7,GZMB,5.481357537563308
FOSB,ENSG00000287124,5.459713557079435
RUNX2,HIVEP1,5.439406544092857
IRF1,SCAI,5.406989390467318
NR3C2,ZNF10,5.346208777926342
HMGB2,SMC4,5.342108249174826
EOMES,HMGB2,5.34089880248961
ARID5B,FRMD3,5.25408298114799
CXXC5,ERCC6L2-AS1,5.214131899874331
HLCS,SMURF1,5.2133525564869165
DACH1,SVIL,5.208918987567271
ZNF37A,KIAA1958,5.184748339300952
TCF7,DUSP2,5.170212375790041
HLCS,MS4A7,5.163055407195735
TCF7,SYNE2,5.162114785847758
MYBL1,TNF,5.145872548196904
MAX,LDAH,5.113242898330842
NR4A1,G0S2,5.106599729133809
KLF12,LINGO2,5.078288017248209
FOXP1,ADAM19,5.076928013786223
ZBTB38,GABPB1-AS1,5.061782146806695
MYBL1,CDK14,5.026245115001467
MCTP2,NUBPL,5.015841910133072
GATA3,LMNA,5.009543395097496
TCF7,GNG2,4.892480915477454
KMT2A,ZNF569,4.886066397026735
IKZF2,TTC27,4.869187058281832
ZNF626,ZNF782,4.8215794847905915
TCF7,SH2D1A,4.807988946121482
DACH1,RBM47,4.797099904149972
NFAT5,FMN1,4.75996011924286
ZNF91,TMTC3,4.746427294590947
IRF1,SIMC1,4.719894832893158
IRF1,SESN3,4.695056036058108
FOXO1,ACTN1,4.674159476102969
HLCS,SAV1,4.6663925929480685
IRF1,DDX10,4.661006159347184
TFDP2,DTNB,4.658634519823203
ARID5B,RSAD2,4.643630095720162
FOXP1,CEP97,4.626580386818274
FOS,FCN1,4.590360821968494
NFATC3,MBD5,4.5809746810451255
ZNF91,ZRANB3,4.573790135379598
SCMH1,MTAP,4.569340280635537
FOXP1,PRKN,4.561206774100052
NFATC3,AP4E1,4.5395037456343905
CLOCK,GPHN,4.470645518692695
