TF,target,importance
ZBTB16,CEBPD,8.644049509253284
CEBPD,ZBTB16,8.079881055170892
FEZ1,NUBPL,7.502237793029917
CEBPD,KLRB1,7.124670342673928
ZEB1,ZNF804A,6.860476537824221
MAFB,CYP4F22,6.74808394304934
TCF7,PRF1,6.627295302973199
TCF7,ITGB1,6.56417755364158
ZBTB20,SHLD1,6.503588916849303
FEZ1,LRMDA,6.452089192574823
ZBTB20,RTTN,6.345813053837034
CEBPD,ALOX5AP,6.274521884025163
FOS,FOSB,6.114412551818731
ZNF654,PRLR,6.10688137480719
JUN,IER2,6.099383778123162
ZBTB10,CXCL8,5.84900561655457
GATA3,LMNA,5.8487634037187375
EGR1,HSPA1B,5.797371499065748
TCF7,GNG2,5.6807316129609005
ZNF331,ZNF782,5.627958336073586
IKZF3,STAMBPL1,5.614139001252857
TCF7,GZMB,5.614017255508213
TCF7,ADGRG1,5.60421170493168
IRF1,DLG2,5.50582937883043
JUN,CD69,5.492353219011287
NFAT5,HDX,5.489530493212049
STAT1,ENSG00000285534,5.4501678717421
CEBPD,HDAC9,5.388156756210026
DACH1,PLD4,5.362912580146603
ZNF568,TBC1D32,5.339774832745101
TCF7,IL32,5.303907906925478
IRF8,LINC00865,5.292503876114146
IRF1,ENTPD3-AS1,5.289218903791481
ZBTB20,GMDS,5.288568522647296
TCF7,NKG7,5.24429027564383
TCF7,FCGR3A,5.2217053026695766
TCF7,CX3CR1,5.1857778099023815
ETS1,ANO10,5.183579332525781
TCF7,IL7R,5.143624705321801
TCF7L2,ARHGAP18,5.128095914935169
ZNF33B,ZNF544,5.09826558760816
SP140,LINC01215,5.045798371168885
FEZ1,EXOC4,5.035120091175655
JUN,TOX,5.000806922237607
SP140,ULK4,4.976517533689182
KLF12,ZFYVE28,4.975059637806606
RUNX2,FCER1A,4.948740855654632
RUNX3,PELI1,4.944134194941042
STAT1,GBP1,4.935980351989211
ZBTB20,HERC2P3--chr15:20370222(-),4.930853188541123
BACH2,SIGLEC1,4.927043963558401
ETS1,PADI4,4.91615394377715
RFX3,IGF2BP2,4.87135606867793
NFIA,NEXN,4.8626328958773355
BCL11B,IMMP1L,4.834541376378871
TCF7,GZMH,4.832397332663304
RFX3,MBTD1,4.829568949091429
NFIA,CLEC10A,4.806932498819789
SCMH1,SHPRH,4.78604553700677
TCF7,FGFBP2,4.77293123653346
CEBPD,ATF7IP2,4.771463529308897
FOS,TNFAIP3,4.761785470644455
SP4,PTGS1,4.747212030624232
SP140,ENSG00000269825,4.745874621306573
NFIA,ENSG00000297373,4.743152758735447
ZNF101,PF4,4.705251348093681
NFATC2,SLC39A8,4.703843951981723
ZNF831,ENSG00000287100,4.665697807429903
ZBTB16,KLRB1,4.646151228169905
ZBTB20,CHN2,4.634431922780868
IKZF3,SLAMF1,4.618732277995369
FEZ1,CCDC88A,4.602237258155515
NFIA,PELATON,4.595259667002648
ETS1,ATP8B4,4.577143220882826
TAGLN2,FCER1A,4.5747229237036295
TCF12,SPOPL-DT,4.570110706066501
DACH1,CENPP,4.568645304637057
DACH1,ENSG00000259363,4.548428241993178
ZEB1,EIF2AK3,4.542510072849315
RUNX2,ACYP2,4.538392582584274
IRF1,LDAH,4.509531894241318
KMT2A,FCGR2B,4.505264059808486
NFIA,DISP1,4.483568811556474
IRF7,PCED1B,4.482794245608694
ZNF101,SOX4,4.451901754714535
RUNX1,PRLR,4.436380081452632
ZBTB20,SIMC1,4.426640925816833
FEZ1,HBEGF,4.42488753939363
TCF7,ZSCAN30,4.409205337698214
TCF4,NIBAN3,4.389549712005141
SOX4,PF4,4.374177654970516
SP140,ZSCAN5A,4.373219532127793
TCF7,RCAN3,4.368657423007688
ZNF568,AFF3,4.366252051621242
ZBTB20,STAG1,4.362193817311
SOX4,METTL15,4.35131178102859
RORA,CD6,4.349466958332801
FEZ1,TESK2,4.342797048603372
FOXP1,LINC00278,4.3397211048025435
SP140,JAKMIP2,4.336894047277501
TCF7,KLRD1,4.336237347461251
