TF,target,importance
TCF7,SELL,11.655036501849956
HMGB2,STMN1,10.103256643826885
FOS,WDR49,9.085550431393884
HMGB2,NUSAP1,8.858469599387938
NR4A1,G0S2,7.280347900148803
TCF7,FCGR3A,7.128448343028297
HMGB2,SMC4,7.075351242372843
TCF7,CX3CR1,7.073690917664731
TCF7,FGFBP2,6.873650904776759
TCF7,GZMB,6.468690118151067
TCF7,PRF1,6.399274522818422
PBX4,METTL15,5.974693005634461
IRF8,GAS2L3,5.836988861925645
FOXO1,ACTN1,5.7672789669743425
TCF7,SPON2,5.7560269245392925
NFAT5,FMN1,5.670962912030409
NR4A1,TESK2,5.6497726128013595
HMGB2,H4C3,5.637764395131549
TCF7,GNG2,5.6371582318174696
TCF7,SYNE2,5.574075877037168
TCF7,CMC1,5.564439027526841
BCL11B,RGCC,5.5153220876767834
NFAT5,LINC00987,5.483818387727084
ETS1,MSR1,5.473324336007667
KLRG1,DOCK9,5.433807990183338
ZEB1,BICDL1,5.425948113121062
HMGB2,CENPE,5.409771777493701
EOMES,MAFB,5.407333801871533
ZBTB20,KIF9-AS1,5.281891839293619
ZBTB20,TRAT1,5.278490389869037
TCF7,DUSP2,5.2291817242648
TCF7,OXNAD1,5.206827791319943
HLTF,BANK1,5.167010961258936
FOS,FCN1,5.162000515805619
TCF4,RGS7,5.134971754469306
BCL11A,APP,5.13034723826371
RUNX1,ARHGAP6,5.096564546257144
KMT2A,ZNF569,5.033712948372693
ZNF33B,EEIG1,5.028461742201142
ZBTB20,CMSS1,5.0256557126776205
MCTP2,GALM,5.011372230133604
MYBL1,TNF,4.976383293155355
MSI2,DLGAP1,4.9620917395808775
SCMH1,MTAP,4.956744570007689
ZNF654,UMAD1,4.847631250805263
RUNX3,ALCAM,4.8167660867868705
NFIA,ABCC3,4.810753107590735
KMT2A,PRLR,4.789142687614337
TCF7,SH2D1A,4.785864627537718
TCF7,IL7R,4.7785606371821805
MSI2,ABTB3,4.774554731417611
TCF7,CRTAM,4.743313201463685
LEF1,TCF7,4.7359649492383165
NR4A1,NEXN,4.726216335547742
TCF7,ITM2A,4.717070432923279
ZBTB16,POC1B-AS1,4.6719917596838165
IRF4,TMEM176B,4.660381133853495
TCF7,HIPK2,4.659928038528675
NFAT5,HDAC9,4.628173652526464
HOXB2,ZSWIM6,4.613935397700418
TRAF4,WAKMAR2,4.602417152037243
TCF7,CST7,4.598346966967464
ZHX3,CD9,4.584700553488966
NFAT5,YPEL1,4.575914213118771
ZBTB20,SEC22A,4.555819116210152
IRF1,SIMC1,4.55222146192594
ZBTB16,CD3D,4.543838657475174
MCTP2,NUBPL,4.536579445980806
STAT4,ANO10,4.533332458578739
BCL11A,ABCC3,4.522169212416575
