TF,target,importance
CEBPD,ZBTB16,10.43444200026191
RORA,PTPN13,9.200720606875468
FOS,FOSB,8.342608299526063
ZBTB16,CEBPD,8.279027266898908
STAT4,PLCL1,8.127846902308576
IRF7,CDKN1C,7.87609792570154
NFIA,CLEC10A,7.42262208358037
GATA3,LMNA,7.338518884371389
TCF7L2,ARHGAP18,7.217019225707641
PRDM1,FCER1A,6.990344661614428
SOX4,PF4,6.623934509201432
ZNF654,IL1RN,6.580977977088
ZBTB16,COLQ,6.3736790692905405
SPATS2,CYP1B1,6.370873677357648
ZBTB16,KLRB1,6.336959576101181
FOS,IL7R,6.206221616455494
NRF1,SPIDR,6.2061328281225805
NFAT5,SIRPD,6.135698618349688
GATA3,RGS18,6.132385548800843
ZNF141,CENPK,5.9898339568960015
MAFB,TMEM140,5.780954744329819
ZNF10,CLEC10A,5.742795682917494
ZNF569,NARS2,5.739149015432548
MAFB,CYP4F22,5.717078140528374
FOS,JUN,5.57533486819728
STAT1,GBP1,5.54798760524503
RPS6KA5,ABCC4,5.54184223354105
HIVEP1,RPS6KA5,5.514244418354782
RUNX1,PRLR,5.470017990524512
ID2,NUSAP1,5.34945955188161
SPATS2,GEN1,5.2852639369979455
CLOCK,XRCC4,5.282241052679802
IRF7,CST3,5.227083586287758
ZHX3,TMEM135,5.218103455078865
GATA3,GAB2,5.19978541190521
ID2,CENPE,5.17818633877811
TCF7,GZMH,5.17314058737737
ZNF37A,RUNX2,5.171602262286013
ZNF331,ZNF782,5.115079632498435
KMT2A,FCGR2B,5.1056317658924355
ZBTB38,CD1C,5.091117787666669
BACH2,SIGLEC1,5.085717390715624
GATA3,DPH6,5.028012756477565
TCF7L2,HIBCH,5.026208024883989
RORA,CD6,4.984847997307184
TCF7,NKG7,4.9750616767756055
ZNF33B,ZNF544,4.955612388597024
FEZ1,NUBPL,4.934679639767106
TCF7,IL7R,4.919729309236871
ZNF569,PLXDC2,4.9024732085250395
ODC1,ZNF133,4.900812121009951
ZNF569,ENSG00000287124,4.891020292768261
KLRG1,PECAM1,4.888781972965452
ZNF569,HS2ST1,4.866005736614595
ZNF626,IMMP1L,4.856471317072284
TCF7,ITGB1,4.850278497440015
PBX4,ZNF569,4.8234579662943835
RPS6KA5,AK9,4.813218793931747
ZNF155,C2orf88,4.809157016373088
ZNF141,TPT1-AS1,4.789136078560629
ZBTB38,LCLAT1,4.754618917235434
NR3C2,DUSP16,4.750789564993696
ZBTB16,LINC00299,4.742412068754034
