TF,target,importance
ZNF654,PRLR,11.1337403423806
CEBPD,ZBTB16,9.396033857397896
FOS,FOSB,8.724923492074435
DACH1,ENSG00000259363,7.606374152789343
IRF8,LINC00865,7.512216259860288
SP4,CD38,7.247931742597554
ZNF91,DTX3,7.073400593792065
GATA3,LMNA,7.003084478348392
TCF4,THBS1,6.906103586715688
ZNF10,TLR10,6.726535827106183
FOS,JUN,6.674271749732943
ZBTB16,KLRB1,6.5557083302242765
ZEB1,ZNF804A,6.539890279458447
NRF1,SPIDR,6.4001793276616485
SPATS2,CYP1B1,6.3983540556593566
TCF7,CX3CR1,6.3324384733864765
ZNF569,PLXDC2,6.204520526426281
PRDM1,FCER1A,6.113899885883533
DACH1,CENPP,6.043759376037353
ZBTB16,CEBPD,6.0011735059267615
TCF7,GZMH,5.9596958367838395
SPATS2,GEN1,5.889841030504683
ZNF569,NARS2,5.8221503736952425
FOSB,FOS,5.810584454964238
ZNF91,KIF13A,5.701010399834875
NFIA,RUBCNL,5.657559515424187
JUN,CD69,5.584294217808207
ZNF91,CDK8,5.569066099266731
CEBPD,HDAC9,5.5188377703367655
ZNF141,TPT1-AS1,5.462736663554208
JUN,IER2,5.4588639299793265
SOX4,IL1RN,5.418562302343892
ZBTB16,COLQ,5.337226138219248
ZNF91,MIR4435-2HG,5.336264414445828
TCF7,ITGB1,5.288275859810723
NFATC3,HERC5,5.271610395167105
SP4,PTGS1,5.254239335959299
ZNF331,ZNF782,5.227678598670557
ZBTB16,GPRIN3,5.208147538815225
TCF7,GZMB,5.120629033335843
TBX21,ENSG00000290548,5.100705196732712
GATA3,GAB2,5.0966500736754075
FOS,FCRL3,5.070205857334353
RORA,CD6,5.069304111730169
TBX21,TCF7,5.0585904597185865
ARID5B,FMNL2,5.044899249816795
ZNF91,ENDOD1,5.01840117818575
CERS6,ATP8B4,4.998041275741711
FOS,FARS2,4.991628299799493
TCF7,IL32,4.986448243086766
STAT1,ENSG00000285534,4.979433657378748
ZNF37A,RUNX2,4.971708446716571
MYBL1,SETBP1,4.96818157212174
TCF7,FCGR3A,4.963222761373081
FOS,CXCR4,4.949994251433829
TCF7,ADGRG1,4.94473379474306
TCF7,GNG2,4.905764965905945
SOX4,PF4,4.901143601841725
NR4A1,CHD7,4.89805491705008
SP4,IFIT1,4.8644349567909115
RORA,MX1,4.864212735469748
FOS,TNFAIP3,4.838342834788115
NR4A1,TMTC2,4.752292582380301
SP4,MLLT6,4.752092231413599
STAT1,GBP1,4.743687918476608
ZNF141,CENPK,4.738823679756907
ZNF91,FRY,4.718782651368603
TCF7,KLRD1,4.696586944240983
ZNF569,HS2ST1,4.666005160623683
TCF7,PLEK,4.664364286494801
GATA3,RGS18,4.636009254437743
RORA,PTPN13,4.633231242243736
TCF7,FGFBP2,4.62970975508462
NFATC3,DAAM1,4.61468902516595
ZBTB16,LINC00299,4.61419983655391
FOS,RUNX3,4.604366181668262
RUNX3,TBX21,4.595788412465732
ID2,PTMS,4.5893876693739015
TCF7,PRF1,4.587186632603006
CERS6,ANO10,4.560351549789584
ZNF544,THBS1,4.5473650024996815
KLRG1,PECAM1,4.538388949448759
TCF7,NKG7,4.5328877861005985
ZBTB10,CXCL8,4.528633687223372
ZNF91,ST6GALNAC3,4.526292786684107
CERS6,GAS2L3,4.518363489390559
NFAT5,SIRPD,4.507743768008923
ZSCAN5A,KIAA0825,4.501673999169998
ZNF10,PNISR-AS1,4.494585788095844
ZNF101,SOX4,4.479462139218603
CERS6,TLE5,4.469866382928473
NFATC2,GUCY1A1,4.461304825016944
RORA,LRBA,4.4555301527406455
ZNF33B,ZNF544,4.447584927724037
CEBPD,KLRB1,4.431614490390142
JUN,TOX,4.426426469450399
ZEB1,TPD52,4.4235550025156956
ZEB1,COMMD1,4.4163589963629795
CEBPD,ALOX5AP,4.409128773856828
BCL11B,MIR23AHG,4.396766070644047
ZNF544,MAP2K5,4.364439671689424
JUN,EGR1,4.34943923124441
STAT4,MAFB,4.341569298985658
TBX21,PRF1,4.337166720511585
EGR1,HSPA1B,4.333532027950195
NR4A1,ANKMY1,4.3258785196493355
NR4A1,POLG2,4.292835795899595
