TF,target,importance
HMGB2,STMN1,17.072946345914307
HMGB2,NUSAP1,12.542931262397131
HMGB2,SMC4,9.920984947611037
HMGB2,CENPE,9.40392186278184
KLF12,DIS3L2,8.164911380026982
HMGB2,NUCB2,8.134384658308976
CLOCK,ENSG00000298678,7.820804959653179
HMGB2,H4C3,7.549388315971255
KLF12,LINGO2,7.377276651132009
MYBL1,TNF,7.307570783947291
HMGB2,SMC2,7.197187931565339
TCF7,GZMB,6.712707286858729
HMGB2,ATAD2,6.700484592602081
KLF12,CDK8,6.568052804002982
ZNF91,RGS1,6.525056373252886
POU2F2,THEMIS,6.5179422344725495
KLF12,LRBA,6.270658941845319
TCF7,CX3CR1,6.268378964690514
HLCS,PRICKLE1,6.259007690692861
ZNF141,KIAA0825,6.195163147492168
KLF12,OXCT1,6.11565956989029
TCF7,FGFBP2,6.1024383634686865
PBX4,METTL15,5.908268706218373
TCF7,SPON2,5.838260314417192
KLF12,DYNC2H1,5.76726184838837
IKZF2,CD3D,5.722576645295231
ZNF654,UMAD1,5.717208463639584
TCF7,PRF1,5.706597977860075
NR6A1,ALCAM,5.6894710388821315
KLF12,GZMA,5.540019454114141
LEF1,SEL1L3,5.477592239950836
KLF12,BRAF,5.469324260311083
ZNF91,ZRANB3,5.430803222346115
TCF7,SYNE2,5.349819525769175
MAFB,PADI4,5.311047769235891
HLCS,SAV1,5.309147120002399
HMGB2,CENPK,5.248432951563532
KLF12,CLEC2D,5.244502613839441
SCMH1,MTAP,5.225891861636759
ZNF10,NR3C2,5.202133093475848
TCF7,FCGR3A,5.133323860821578
TCF7,SELL,5.129711046952226
TCF7,GATA3,5.086275585518331
CLOCK,GPHN,5.079330224898237
HMGB2,BRCA2,5.059377586971917
FEZ1,PNISR-AS1,5.050592462529203
TCF7,DUSP2,4.984922676367802
ZNF544,ZNF569,4.9651223788530885
ZNF141,PTK2,4.96209539183058
HMGB2,SPTBN1,4.923210385376427
ZNF600,HIVEP1,4.919927334029054
PBX4,KIAA0586,4.911931948291079
HMGB2,SLFN5,4.870815882764784
FOS,FCN1,4.868588238634596
MSI2,SIRPD,4.864646652044584
STAT1,RBMS3,4.854754006421243
ZNF91,TMTC3,4.821798034282486
HLCS,MS4A7,4.8175353856861225
KLF12,KANTR,4.815130539218822
HLCS,WDFY4,4.810039792372877
PBX4,ABCC4,4.765415898759971
KLF12,TPTEP1--chr22:16601307(+),4.756437647832043
IKZF2,MICU2,4.755885154682641
SCMH1,ENSG00000307088,4.726770171292763
ZNF91,CCDC138,4.717823329424625
BACH2,ADAM19,4.7096406573893725
NR4A1,TESK2,4.673224584576999
KLF12,CDC42SE2,4.651670790540344
ZNF141,XRRA1,4.618128266731687
NR6A1,SIMC1,4.6180766731524265
MAFB,CLEC10A,4.571627774927306
KLF12,GMDS,4.555125354221017
DACH1,FBXO22,4.52029303421672
HMGB2,APOLD1,4.484880309728108
ZNF654,ARHGAP22,4.47296250898983
DACH1,TBC1D12,4.471931144600446
MAX,LDAH,4.456696387157636
ZEB1,PTMS,4.435829923590659
RFX3,ACSL1,4.434458965999574
SETBP1,SOX2-OT,4.427050120242335
STAT4,ANO10,4.423244564766638
ZNF600,MAL,4.417891323340985
ODC1,UBE2E2,4.39313844119867
MCTP2,NUBPL,4.388910957799427
FOS,KIF13A,4.387853130270791
FOS,RHOB,4.373994285740724
KLF12,CCM2,4.366506563148362
ID2,ATP8B2,4.35251297044106
MYBL1,CDK14,4.336519928301154
KLF12,ACYP2,4.317196467743261
BCL11A,APP,4.305237608727415
